,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
654,190.5,0.8098991991265089,0.18,0.8365009034413828,0.28340826809021596,0.7793242848019546,60,double_top_vs_ma_crossover,WFC
655,132.0,0.8950449561527951,0.1875,0.9522562797299043,0.5744646446916014,0.5716060032956398,60,double_top_vs_random,WFC
656,220.0,0.602255719243756,0.18,0.8365009034413828,0.4373776248890163,0.6642833394388384,60,ma_crossover_vs_random,WFC
657,233.0,0.23131319420371554,0.2777777777777778,0.3795475473467244,1.4289699178326316,0.1665256536923975,5,double_top_vs_ma_crossover,WM
658,104.0,0.8001153981388982,0.2857142857142857,0.6354849613377005,0.7032430500558134,0.49010071766535657,5,double_top_vs_random,WM
659,151.0,0.3025489684534195,0.24074074074074073,0.5537094847754677,-1.0859771385147652,0.2844393977669764,5,ma_crossover_vs_random,WM
660,230.0,0.2650937229586382,0.35714285714285715,0.1296988427182957,1.0657166681586234,0.2983701667744948,20,double_top_vs_ma_crossover,WM
661,98.0,1.0,0.35714285714285715,0.3433204708275377,-0.3960896321705413,0.6962202816706329,20,double_top_vs_random,WM
662,119.0,0.056036142242661915,0.3201058201058201,0.2182184684641173,-2.1375297146246712,0.0395141434414939,20,ma_crossover_vs_random,WM
663,251.0,0.09059140590165352,0.3412698412698413,0.18735487809770193,1.7556745633789834,0.09012263150772282,60,double_top_vs_ma_crossover,WM
664,121.0,0.3002912513496846,0.35714285714285715,0.3433204708275377,1.5122040005990607,0.1434585067228645,60,double_top_vs_random,WM
665,187.0,0.9671051194983311,0.31216931216931215,0.25510400974788966,0.19840332690797025,0.8445641554495698,60,ma_crossover_vs_random,WM
666,232.5,0.31779389381364476,0.27365728900255754,0.3655824081209012,0.6329112453499078,0.5306180496063142,5,double_top_vs_ma_crossover,WMB
667,159.0,0.6293952251665276,0.17647058823529413,0.9631071252458352,0.8846369125119327,0.3884304884244165,5,double_top_vs_random,WMB
668,185.5,0.7949187458846162,0.19948849104859334,0.7421921767299673,0.6647718113760517,0.5144733525285035,5,ma_crossover_vs_random,WMB
669,230.5,0.34503586616477155,0.329923273657289,0.18317394953013477,0.4286994173379488,0.6705748722010265,20,double_top_vs_ma_crossover,WMB
670,162.0,0.5578836625245296,0.29411764705882354,0.46535270633620435,0.34285638563559,0.7353299154337172,20,double_top_vs_random,WMB
671,193.5,0.9672629078500127,0.1969309462915601,0.758286142014261,0.1144997732955994,0.9098780331410186,20,ma_crossover_vs_random,WMB
672,239.5,0.23381418530484788,0.23017902813299232,0.5768971982299655,1.3052213217721895,0.20043252333653627,60,double_top_vs_ma_crossover,WMB
673,151.0,0.836151021678365,0.23529411764705882,0.7506071234246195,-0.021180822903333733,0.9832514325971948,60,double_top_vs_random,WMB
674,169.5,0.48536267300781544,0.24040920716112532,0.5341250530747633,-1.0249688032001647,0.3147016995507975,60,ma_crossover_vs_random,WMB
675,283.0,0.8898980009686981,0.20652173913043478,0.5774815777043131,-0.5908398749082797,0.5580923244383791,5,double_top_vs_ma_crossover,WMT
676,326.0,0.17985691645363056,0.2608695652173913,0.4217817995595472,0.058283227911036524,0.9539132728438174,5,double_top_vs_random,WMT
677,310.0,0.47589071739669675,0.25,0.34461972888497366,0.9823392222109026,0.3319811833982279,5,ma_crossover_vs_random,WMT
678,255.0,0.6624034572489361,0.2210144927536232,0.5413352176773545,-0.7321857406485128,0.46836343961992066,20,double_top_vs_ma_crossover,WMT
